hostname,os,environment,country,node
ADIRL278,AIX,Development,Ireland,278
LPGER143,Linux,Production,Germany,143
LTESP593,Linux,Testing,Spain,593
SIIRL746,Solaris,Integration,Ireland,746
ATGER752,AIX,Testing,Germany,752
HSGER654,HP-UX,Staging,Germany,654
ATIRL978,AIX,Testing,Ireland,978
ATIRL300,AIX,Testing,Ireland,300
LPITA638,Linux,Production,Italy,638
HSGER434,HP-UX,Staging,Germany,434
APITA295,AIX,Production,Italy,295
LSIRL368,Linux,Staging,Ireland,368
LIGER320,Linux,Integration,Germany,320
HTNOR203,HP-UX,Testing,Norway,203
ATITA593,AIX,Testing,Italy,593
AIESP669,AIX,Integration,Spain,669
ATGER370,AIX,Testing,Germany,370
LTFRA857,Linux,Testing,France,857
SSGER913,Solaris,Staging,Germany,913
LPIRL249,Linux,Production,Ireland,249
STIRL374,Solaris,Testing,Ireland,374
SSFRA417,Solaris,Staging,France,417
LDIRL532,Linux,Development,Ireland,532
HSESP128,HP-UX,Staging,Spain,128
SPITA375,Solaris,Production,Italy,375
LTITA657,Linux,Testing,Italy,657
HSGER695,HP-UX,Staging,Germany,695
SSGER219,Solaris,Staging,Germany,219
LPGER530,Linux,Production,Germany,530
SPIRL040,Solaris,Production,Ireland,40
HSIRL908,HP-UX,Staging,Ireland,908
LTITA934,Linux,Testing,Italy,934
SSGER224,Solaris,Staging,Germany,224
LPGER442,Linux,Production,Germany,442
LDITA940,Linux,Development,Italy,940
LTIRL143,Linux,Testing,Ireland,143
HTGER348,HP-UX,Testing,Germany,348
SSIRL316,Solaris,Staging,Ireland,316
SPNOR437,Solaris,Production,Norway,437
LPIRL252,Linux,Production,Ireland,252
SDGER386,Solaris,Development,Germany,386
ATNOR595,AIX,Testing,Norway,595
SDESP002,Solaris,Development,Spain,2
SPGER876,Solaris,Production,Germany,876
LPITA551,Linux,Production,Italy,551
LTIRL644,Linux,Testing,Ireland,644
HSESP989,HP-UX,Staging,Spain,989
HTGER046,HP-UX,Testing,Germany,46
LSGER674,Linux,Staging,Germany,674
STITA737,Solaris,Testing,Italy,737
STIRL303,Solaris,Testing,Ireland,303
LPITA645,Linux,Production,Italy,645
AIGER055,AIX,Integration,Germany,55
SPIRL930,Solaris,Production,Ireland,930
ATGER060,AIX,Testing,Germany,60
AIESP288,AIX,Integration,Spain,288
LTFRA261,Linux,Testing,France,261
LIGER751,Linux,Integration,Germany,751
SPFRA408,Solaris,Production,France,408
APFRA723,AIX,Production,France,723
ATITA741,AIX,Testing,Italy,741
LDESP835,Linux,Development,Spain,835
SSGER289,Solaris,Staging,Germany,289
LSIRL152,Linux,Staging,Ireland,152
LPIRL541,Linux,Production,Ireland,541
HTGER619,HP-UX,Testing,Germany,619
LSITA646,Linux,Staging,Italy,646
SSITA908,Solaris,Staging,Italy,908
AIIRL802,AIX,Integration,Ireland,802
LSIRL014,Linux,Staging,Ireland,14
SPIRL916,Solaris,Production,Ireland,916
LDITA837,Linux,Development,Italy,837
LPGER151,Linux,Production,Germany,151
LIGER936,Linux,Integration,Germany,936
STESP480,Solaris,Testing,Spain,480
LSESP743,Linux,Staging,Spain,743
SSGER486,Solaris,Staging,Germany,486
APIRL924,AIX,Production,Ireland,924
LPITA540,Linux,Production,Italy,540
LPNOR001,Linux,Production,Norway,1
ATIRL338,AIX,Testing,Ireland,338
APIRL134,AIX,Production,Ireland,134
LDESP823,Linux,Development,Spain,823
SPIRL119,Solaris,Production,Ireland,119
APNOR840,AIX,Production,Norway,840
APFRA761,AIX,Production,France,761
LSITA223,Linux,Staging,Italy,223
ASNOR638,AIX,Staging,Norway,638
SPIRL678,Solaris,Production,Ireland,678
HSITA518,HP-UX,Staging,Italy,518
APNOR351,AIX,Production,Norway,351
SDESP199,Solaris,Development,Spain,199
LPIRL782,Linux,Production,Ireland,782
AIIRL511,AIX,Integration,Ireland,511
LDFRA893,Linux,Development,France,893
SDFRA987,Solaris,Development,France,987
APIRL505,AIX,Production,Ireland,505
APIRL279,AIX,Production,Ireland,279
HTGER009,HP-UX,Testing,Germany,9
LPGER712,Linux,Production,Germany,712
LPGER757,Linux,Production,Germany,757
LPGER567,Linux,Production,Germany,567
ADIRL922,AIX,Development,Ireland,922
ATIRL308,AIX,Testing,Ireland,308
SPITA123,Solaris,Production,Italy,123
SPFRA195,Solaris,Production,France,195
SSNOR632,Solaris,Staging,Norway,632
AIFRA415,AIX,Integration,France,415
LSIRL990,Linux,Staging,Ireland,990
STNOR883,Solaris,Testing,Norway,883
LSITA687,Linux,Staging,Italy,687
APGER712,AIX,Production,Germany,712
LSGER100,Linux,Staging,Germany,100
LPIRL277,Linux,Production,Ireland,277
LIIRL481,Linux,Integration,Ireland,481
SSIRL566,Solaris,Staging,Ireland,566
LPGER933,Linux,Production,Germany,933
SPGER124,Solaris,Production,Germany,124
ASITA056,AIX,Staging,Italy,56
HPITA205,HP-UX,Production,Italy,205
SINOR973,Solaris,Integration,Norway,973
SIGER346,Solaris,Integration,Germany,346
HIITA619,HP-UX,Integration,Italy,619
HTIRL812,HP-UX,Testing,Ireland,812
LSITA672,Linux,Staging,Italy,672
LTGER507,Linux,Testing,Germany,507
SIGER548,Solaris,Integration,Germany,548
LSIRL563,Linux,Staging,Ireland,563
SIIRL343,Solaris,Integration,Ireland,343
LTGER926,Linux,Testing,Germany,926
APFRA202,AIX,Production,France,202
APIRL617,AIX,Production,Ireland,617
LIIRL606,Linux,Integration,Ireland,606
HDFRA282,HP-UX,Development,France,282
LTITA301,Linux,Testing,Italy,301
LDFRA128,Linux,Development,France,128
SDESP409,Solaris,Development,Spain,409
LIIRL254,Linux,Integration,Ireland,254
ATIRL540,AIX,Testing,Ireland,540
LSIRL393,Linux,Staging,Ireland,393
LTGER178,Linux,Testing,Germany,178
LIESP727,Linux,Integration,Spain,727
LINOR984,Linux,Integration,Norway,984
ATIRL034,AIX,Testing,Ireland,34
LTGER814,Linux,Testing,Germany,814
HTIRL576,HP-UX,Testing,Ireland,576
HPIRL877,HP-UX,Production,Ireland,877
LIIRL432,Linux,Integration,Ireland,432
ATESP595,AIX,Testing,Spain,595
APFRA451,AIX,Production,France,451
STESP227,Solaris,Testing,Spain,227
LPGER984,Linux,Production,Germany,984
SSIRL567,Solaris,Staging,Ireland,567
LPNOR965,Linux,Production,Norway,965
APIRL032,AIX,Production,Ireland,32
LTESP899,Linux,Testing,Spain,899
HDGER765,HP-UX,Development,Germany,765
APIRL062,AIX,Production,Ireland,62
LPGER183,Linux,Production,Germany,183
LIIRL503,Linux,Integration,Ireland,503
LDFRA762,Linux,Development,France,762
SPITA693,Solaris,Production,Italy,693
SPITA649,Solaris,Production,Italy,649
STITA853,Solaris,Testing,Italy,853
SPIRL821,Solaris,Production,Ireland,821
LDGER404,Linux,Development,Germany,404
LSIRL845,Linux,Staging,Ireland,845
ATESP128,AIX,Testing,Spain,128
ADGER839,AIX,Development,Germany,839
HPGER226,HP-UX,Production,Germany,226
LSIRL133,Linux,Staging,Ireland,133
SIIRL705,Solaris,Integration,Ireland,705
LPIRL820,Linux,Production,Ireland,820
AINOR986,AIX,Integration,Norway,986
LIIRL622,Linux,Integration,Ireland,622
HSNOR225,HP-UX,Staging,Norway,225
APIRL141,AIX,Production,Ireland,141
HTITA180,HP-UX,Testing,Italy,180
SDITA963,Solaris,Development,Italy,963
SPGER626,Solaris,Production,Germany,626
HTFRA479,HP-UX,Testing,France,479
LSIRL657,Linux,Staging,Ireland,657
ASIRL574,AIX,Staging,Ireland,574
SPESP101,Solaris,Production,Spain,101
LTGER301,Linux,Testing,Germany,301
LPIRL064,Linux,Production,Ireland,64
APITA054,AIX,Production,Italy,54
LPGER794,Linux,Production,Germany,794
SPIRL105,Solaris,Production,Ireland,105
HPIRL075,HP-UX,Production,Ireland,75
LPIRL120,Linux,Production,Ireland,120
ADESP714,AIX,Development,Spain,714
LSGER946,Linux,Staging,Germany,946
LPESP521,Linux,Production,Spain,521
SSFRA156,Solaris,Staging,France,156
SPGER212,Solaris,Production,Germany,212
ASIRL785,AIX,Staging,Ireland,785
LTGER371,Linux,Testing,Germany,371
APNOR863,AIX,Production,Norway,863
HPESP750,HP-UX,Production,Spain,750
SDESP786,Solaris,Development,Spain,786
STFRA784,Solaris,Testing,France,784
LSIRL714,Linux,Staging,Ireland,714
HPIRL345,HP-UX,Production,Ireland,345
HTESP435,HP-UX,Testing,Spain,435
SPITA541,Solaris,Production,Italy,541
ASESP507,AIX,Staging,Spain,507
STGER671,Solaris,Testing,Germany,671
ATITA881,AIX,Testing,Italy,881
SSIRL279,Solaris,Staging,Ireland,279
LPFRA879,Linux,Production,France,879
SPESP921,Solaris,Production,Spain,921
HTIRL896,HP-UX,Testing,Ireland,896
ASNOR681,AIX,Staging,Norway,681
LIGER338,Linux,Integration,Germany,338
LPITA687,Linux,Production,Italy,687
SSESP570,Solaris,Staging,Spain,570
LIFRA309,Linux,Integration,France,309
SDNOR708,Solaris,Development,Norway,708
SIESP353,Solaris,Integration,Spain,353
LPIRL740,Linux,Production,Ireland,740
STGER279,Solaris,Testing,Germany,279
STFRA387,Solaris,Testing,France,387
HTESP941,HP-UX,Testing,Spain,941
SSITA070,Solaris,Staging,Italy,70
ASFRA744,AIX,Staging,France,744
LPIRL168,Linux,Production,Ireland,168
LSGER424,Linux,Staging,Germany,424
HSGER293,HP-UX,Staging,Germany,293
ASIRL264,AIX,Staging,Ireland,264
SSGER623,Solaris,Staging,Germany,623
ATESP960,AIX,Testing,Spain,960
LPIRL632,Linux,Production,Ireland,632
SDIRL329,Solaris,Development,Ireland,329
HSITA807,HP-UX,Staging,Italy,807
SPIRL021,Solaris,Production,Ireland,21
SPGER348,Solaris,Production,Germany,348
SPGER106,Solaris,Production,Germany,106
SSGER331,Solaris,Staging,Germany,331
STITA327,Solaris,Testing,Italy,327
SSGER191,Solaris,Staging,Germany,191
SPGER663,Solaris,Production,Germany,663
SDESP885,Solaris,Development,Spain,885
ATIRL766,AIX,Testing,Ireland,766
LDIRL363,Linux,Development,Ireland,363
ADGER654,AIX,Development,Germany,654
ASIRL879,AIX,Staging,Ireland,879
LSGER138,Linux,Staging,Germany,138
SIIRL065,Solaris,Integration,Ireland,65
SSGER658,Solaris,Staging,Germany,658
SSGER707,Solaris,Staging,Germany,707
SIGER914,Solaris,Integration,Germany,914
LPESP446,Linux,Production,Spain,446
HDIRL718,HP-UX,Development,Ireland,718
SSGER756,Solaris,Staging,Germany,756
LTIRL079,Linux,Testing,Ireland,79
APGER452,AIX,Production,Germany,452
LTESP711,Linux,Testing,Spain,711
ATIRL706,AIX,Testing,Ireland,706
SIESP811,Solaris,Integration,Spain,811
APGER303,AIX,Production,Germany,303
ATIRL029,AIX,Testing,Ireland,29
STESP360,Solaris,Testing,Spain,360
LIITA658,Linux,Integration,Italy,658
LTESP497,Linux,Testing,Spain,497
ASITA052,AIX,Staging,Italy,52
HTESP618,HP-UX,Testing,Spain,618
LPNOR085,Linux,Production,Norway,85
SPGER086,Solaris,Production,Germany,86
STGER227,Solaris,Testing,Germany,227
LDIRL269,Linux,Development,Ireland,269
APFRA817,AIX,Production,France,817
LSNOR015,Linux,Staging,Norway,15
APGER792,AIX,Production,Germany,792
APESP791,AIX,Production,Spain,791
SDNOR311,Solaris,Development,Norway,311
HSGER857,HP-UX,Staging,Germany,857
HIIRL643,HP-UX,Integration,Ireland,643
SPITA857,Solaris,Production,Italy,857
LPITA080,Linux,Production,Italy,80
ASITA566,AIX,Staging,Italy,566
LPGER924,Linux,Production,Germany,924
LTESP228,Linux,Testing,Spain,228
LIIRL454,Linux,Integration,Ireland,454
SIGER995,Solaris,Integration,Germany,995
STESP046,Solaris,Testing,Spain,46
LSGER537,Linux,Staging,Germany,537
LPNOR638,Linux,Production,Norway,638
ASIRL980,AIX,Staging,Ireland,980
ASIRL530,AIX,Staging,Ireland,530
LTIRL892,Linux,Testing,Ireland,892
SPIRL111,Solaris,Production,Ireland,111
LIITA539,Linux,Integration,Italy,539
SSIRL640,Solaris,Staging,Ireland,640
LPIRL304,Linux,Production,Ireland,304
LTESP352,Linux,Testing,Spain,352
ATITA471,AIX,Testing,Italy,471
ATIRL422,AIX,Testing,Ireland,422
HPIRL381,HP-UX,Production,Ireland,381
HTFRA051,HP-UX,Testing,France,51
HSIRL278,HP-UX,Staging,Ireland,278
LSIRL310,Linux,Staging,Ireland,310
LTIRL313,Linux,Testing,Ireland,313
HIITA056,HP-UX,Integration,Italy,56
SSESP999,Solaris,Staging,Spain,999
SSITA278,Solaris,Staging,Italy,278
SDGER491,Solaris,Development,Germany,491
SSIRL106,Solaris,Staging,Ireland,106
HDIRL807,HP-UX,Development,Ireland,807
HSITA391,HP-UX,Staging,Italy,391
STGER967,Solaris,Testing,Germany,967
APNOR394,AIX,Production,Norway,394
SSFRA356,Solaris,Staging,France,356
LSITA190,Linux,Staging,Italy,190
HPIRL153,HP-UX,Production,Ireland,153
LSGER318,Linux,Staging,Germany,318
STIRL978,Solaris,Testing,Ireland,978
APNOR584,AIX,Production,Norway,584
STFRA594,Solaris,Testing,France,594
STESP835,Solaris,Testing,Spain,835
LDFRA265,Linux,Development,France,265
LSESP689,Linux,Staging,Spain,689
LTIRL509,Linux,Testing,Ireland,509
AIITA180,AIX,Integration,Italy,180
LDIRL095,Linux,Development,Ireland,95
AIGER983,AIX,Integration,Germany,983
STGER822,Solaris,Testing,Germany,822
AIESP440,AIX,Integration,Spain,440
LTGER501,Linux,Testing,Germany,501
ADFRA520,AIX,Development,France,520
STGER139,Solaris,Testing,Germany,139
HPIRL003,HP-UX,Production,Ireland,3
LIIRL468,Linux,Integration,Ireland,468
LPIRL177,Linux,Production,Ireland,177
SPIRL798,Solaris,Production,Ireland,798
LSIRL174,Linux,Staging,Ireland,174
LTIRL470,Linux,Testing,Ireland,470
LIIRL716,Linux,Integration,Ireland,716
ATGER807,AIX,Testing,Germany,807
LSIRL776,Linux,Staging,Ireland,776
ASGER788,AIX,Staging,Germany,788
SPIRL805,Solaris,Production,Ireland,805
LSIRL648,Linux,Staging,Ireland,648
LIGER363,Linux,Integration,Germany,363
AIFRA300,AIX,Integration,France,300
ATIRL144,AIX,Testing,Ireland,144
LSESP920,Linux,Staging,Spain,920
HPGER502,HP-UX,Production,Germany,502
APGER596,AIX,Production,Germany,596
HSESP022,HP-UX,Staging,Spain,22
LPIRL968,Linux,Production,Ireland,968
LTITA648,Linux,Testing,Italy,648
HIIRL043,HP-UX,Integration,Ireland,43
HTITA337,HP-UX,Testing,Italy,337
LSIRL713,Linux,Staging,Ireland,713
LSITA608,Linux,Staging,Italy,608
SPIRL100,Solaris,Production,Ireland,100
SPESP088,Solaris,Production,Spain,88
LPIRL348,Linux,Production,Ireland,348
LPESP344,Linux,Production,Spain,344
SPFRA166,Solaris,Production,France,166
LTITA116,Linux,Testing,Italy,116
APESP476,AIX,Production,Spain,476
LTGER290,Linux,Testing,Germany,290
APFRA293,AIX,Production,France,293
SSFRA599,Solaris,Staging,France,599
LTGER595,Linux,Testing,Germany,595
SDFRA642,Solaris,Development,France,642
LPIRL179,Linux,Production,Ireland,179
SPGER712,Solaris,Production,Germany,712
SPIRL846,Solaris,Production,Ireland,846
STIRL291,Solaris,Testing,Ireland,291
SSFRA105,Solaris,Staging,France,105
STESP221,Solaris,Testing,Spain,221
LTIRL389,Linux,Testing,Ireland,389
STIRL025,Solaris,Testing,Ireland,25
SPGER022,Solaris,Production,Germany,22
SPFRA013,Solaris,Production,France,13
ATNOR881,AIX,Testing,Norway,881
ASITA398,AIX,Staging,Italy,398
LTIRL079,Linux,Testing,Ireland,79
LIESP690,Linux,Integration,Spain,690
LSFRA083,Linux,Staging,France,83
LPGER972,Linux,Production,Germany,972
ADESP636,AIX,Development,Spain,636
HTGER114,HP-UX,Testing,Germany,114
SDGER369,Solaris,Development,Germany,369
HPIRL535,HP-UX,Production,Ireland,535
HDGER430,HP-UX,Development,Germany,430
APIRL292,AIX,Production,Ireland,292
LSIRL914,Linux,Staging,Ireland,914
SSESP910,Solaris,Staging,Spain,910
LPGER453,Linux,Production,Germany,453
LTESP733,Linux,Testing,Spain,733
LDIRL098,Linux,Development,Ireland,98
LTGER332,Linux,Testing,Germany,332
LDESP443,Linux,Development,Spain,443
STGER104,Solaris,Testing,Germany,104
LPITA311,Linux,Production,Italy,311
HSGER112,HP-UX,Staging,Germany,112
ATIRL997,AIX,Testing,Ireland,997
LTIRL722,Linux,Testing,Ireland,722
SPFRA923,Solaris,Production,France,923
APGER330,AIX,Production,Germany,330
LIIRL384,Linux,Integration,Ireland,384
LTGER982,Linux,Testing,Germany,982
SSGER565,Solaris,Staging,Germany,565
SDGER248,Solaris,Development,Germany,248
STIRL898,Solaris,Testing,Ireland,898
ASFRA841,AIX,Staging,France,841
SIIRL360,Solaris,Integration,Ireland,360
LTGER607,Linux,Testing,Germany,607
LDFRA940,Linux,Development,France,940
LSGER247,Linux,Staging,Germany,247
LPGER965,Linux,Production,Germany,965
SSFRA053,Solaris,Staging,France,53
AIIRL584,AIX,Integration,Ireland,584
LTITA589,Linux,Testing,Italy,589
LTFRA848,Linux,Testing,France,848
APNOR123,AIX,Production,Norway,123
LPGER424,Linux,Production,Germany,424
SPIRL721,Solaris,Production,Ireland,721
ATESP677,AIX,Testing,Spain,677
APIRL342,AIX,Production,Ireland,342
ATIRL259,AIX,Testing,Ireland,259
LTNOR283,Linux,Testing,Norway,283
ADITA697,AIX,Development,Italy,697
APGER455,AIX,Production,Germany,455
SPESP935,Solaris,Production,Spain,935
SSGER148,Solaris,Staging,Germany,148
ATITA221,AIX,Testing,Italy,221
LPITA622,Linux,Production,Italy,622
LPITA768,Linux,Production,Italy,768
SPIRL902,Solaris,Production,Ireland,902
SSIRL145,Solaris,Staging,Ireland,145
ADITA605,AIX,Development,Italy,605
STIRL753,Solaris,Testing,Ireland,753
LPGER759,Linux,Production,Germany,759
ATIRL270,AIX,Testing,Ireland,270
HTGER539,HP-UX,Testing,Germany,539
LPIRL962,Linux,Production,Ireland,962
ATESP285,AIX,Testing,Spain,285
SPESP756,Solaris,Production,Spain,756
STITA010,Solaris,Testing,Italy,10
APGER622,AIX,Production,Germany,622
SSESP822,Solaris,Staging,Spain,822
LPNOR622,Linux,Production,Norway,622
SPNOR783,Solaris,Production,Norway,783
SPESP591,Solaris,Production,Spain,591
APGER162,AIX,Production,Germany,162
ATIRL332,AIX,Testing,Ireland,332
STESP153,Solaris,Testing,Spain,153
ADESP488,AIX,Development,Spain,488
LIGER108,Linux,Integration,Germany,108
LPFRA247,Linux,Production,France,247
SIESP675,Solaris,Integration,Spain,675
ASGER159,AIX,Staging,Germany,159
LDGER136,Linux,Development,Germany,136
LPGER021,Linux,Production,Germany,21
LPESP542,Linux,Production,Spain,542
LPIRL791,Linux,Production,Ireland,791
LPGER288,Linux,Production,Germany,288
LTESP579,Linux,Testing,Spain,579
APESP210,AIX,Production,Spain,210
LIIRL167,Linux,Integration,Ireland,167
LDGER674,Linux,Development,Germany,674
ASGER349,AIX,Staging,Germany,349
ASIRL090,AIX,Staging,Ireland,90
LTIRL118,Linux,Testing,Ireland,118
SSIRL818,Solaris,Staging,Ireland,818
LDIRL707,Linux,Development,Ireland,707
LDESP230,Linux,Development,Spain,230
HPIRL371,HP-UX,Production,Ireland,371
APGER752,AIX,Production,Germany,752
HPESP598,HP-UX,Production,Spain,598
SIIRL992,Solaris,Integration,Ireland,992
LSIRL484,Linux,Staging,Ireland,484
LPESP234,Linux,Production,Spain,234
LSNOR133,Linux,Staging,Norway,133
ADESP025,AIX,Development,Spain,25
LTITA035,Linux,Testing,Italy,35
LPESP967,Linux,Production,Spain,967
LTGER276,Linux,Testing,Germany,276
LPNOR545,Linux,Production,Norway,545
SSIRL488,Solaris,Staging,Ireland,488
STESP289,Solaris,Testing,Spain,289
LSIRL335,Linux,Staging,Ireland,335
SPFRA183,Solaris,Production,France,183
APIRL038,AIX,Production,Ireland,38
SIITA461,Solaris,Integration,Italy,461
LSFRA818,Linux,Staging,France,818
ATITA714,AIX,Testing,Italy,714
SDITA149,Solaris,Development,Italy,149
STIRL464,Solaris,Testing,Ireland,464
LDIRL219,Linux,Development,Ireland,219
LTIRL245,Linux,Testing,Ireland,245
LPFRA552,Linux,Production,France,552
HPIRL497,HP-UX,Production,Ireland,497
ASITA054,AIX,Staging,Italy,54
LIGER776,Linux,Integration,Germany,776
LDGER398,Linux,Development,Germany,398
LTESP083,Linux,Testing,Spain,83
LPITA833,Linux,Production,Italy,833
LIITA064,Linux,Integration,Italy,64
STGER629,Solaris,Testing,Germany,629
ASESP366,AIX,Staging,Spain,366
LSIRL285,Linux,Staging,Ireland,285
ADESP045,AIX,Development,Spain,45
LIGER164,Linux,Integration,Germany,164
LTFRA098,Linux,Testing,France,98
APITA583,AIX,Production,Italy,583
LSESP756,Linux,Staging,Spain,756
SPITA431,Solaris,Production,Italy,431
HTITA369,HP-UX,Testing,Italy,369
ASGER173,AIX,Staging,Germany,173
SIESP614,Solaris,Integration,Spain,614
HPITA634,HP-UX,Production,Italy,634
SSITA824,Solaris,Staging,Italy,824
SPIRL779,Solaris,Production,Ireland,779
LSIRL855,Linux,Staging,Ireland,855
SIIRL591,Solaris,Integration,Ireland,591
HPITA319,HP-UX,Production,Italy,319
SIESP054,Solaris,Integration,Spain,54
SDESP671,Solaris,Development,Spain,671
SSNOR918,Solaris,Staging,Norway,918
ATIRL284,AIX,Testing,Ireland,284
SPFRA591,Solaris,Production,France,591
LSGER069,Linux,Staging,Germany,69
LDESP437,Linux,Development,Spain,437
APIRL018,AIX,Production,Ireland,18
APESP068,AIX,Production,Spain,68
APIRL004,AIX,Production,Ireland,4
LSGER267,Linux,Staging,Germany,267
LSITA180,Linux,Staging,Italy,180
LPGER836,Linux,Production,Germany,836
HSITA482,HP-UX,Staging,Italy,482
ASITA867,AIX,Staging,Italy,867
LPESP986,Linux,Production,Spain,986
LDITA492,Linux,Development,Italy,492
STITA619,Solaris,Testing,Italy,619
SDIRL432,Solaris,Development,Ireland,432
STESP364,Solaris,Testing,Spain,364
HPESP963,HP-UX,Production,Spain,963
SSIRL499,Solaris,Staging,Ireland,499
SPESP618,Solaris,Production,Spain,618
SPITA037,Solaris,Production,Italy,37
SDIRL090,Solaris,Development,Ireland,90
AIITA611,AIX,Integration,Italy,611
LSFRA136,Linux,Staging,France,136
SDITA040,Solaris,Development,Italy,40
LSITA895,Linux,Staging,Italy,895
SSITA551,Solaris,Staging,Italy,551
SSGER675,Solaris,Staging,Germany,675
LPIRL262,Linux,Production,Ireland,262
LDIRL675,Linux,Development,Ireland,675
SDESP312,Solaris,Development,Spain,312
APGER558,AIX,Production,Germany,558
STNOR023,Solaris,Testing,Norway,23
ASESP535,AIX,Staging,Spain,535
AIIRL672,AIX,Integration,Ireland,672
LDITA812,Linux,Development,Italy,812
HTGER444,HP-UX,Testing,Germany,444
LSESP271,Linux,Staging,Spain,271
ATITA054,AIX,Testing,Italy,54
ATITA461,AIX,Testing,Italy,461
LPGER287,Linux,Production,Germany,287
AIGER372,AIX,Integration,Germany,372
ASIRL319,AIX,Staging,Ireland,319
STIRL594,Solaris,Testing,Ireland,594
SSESP669,Solaris,Staging,Spain,669
SSITA683,Solaris,Staging,Italy,683
SPGER179,Solaris,Production,Germany,179
SPGER898,Solaris,Production,Germany,898
LTITA312,Linux,Testing,Italy,312
ADIRL891,AIX,Development,Ireland,891
SSIRL808,Solaris,Staging,Ireland,808
SPESP825,Solaris,Production,Spain,825
AIIRL897,AIX,Integration,Ireland,897
APIRL467,AIX,Production,Ireland,467
LPGER504,Linux,Production,Germany,504
STNOR194,Solaris,Testing,Norway,194
LPGER843,Linux,Production,Germany,843
HTESP974,HP-UX,Testing,Spain,974
ASESP621,AIX,Staging,Spain,621
SPGER102,Solaris,Production,Germany,102
LSIRL349,Linux,Staging,Ireland,349
HPIRL746,HP-UX,Production,Ireland,746
LPFRA210,Linux,Production,France,210
LTIRL705,Linux,Testing,Ireland,705
STGER201,Solaris,Testing,Germany,201
SSIRL701,Solaris,Staging,Ireland,701
SPFRA115,Solaris,Production,France,115
STIRL852,Solaris,Testing,Ireland,852
SDITA373,Solaris,Development,Italy,373
HTGER905,HP-UX,Testing,Germany,905
ADESP993,AIX,Development,Spain,993
ATIRL424,AIX,Testing,Ireland,424
STNOR245,Solaris,Testing,Norway,245
LTITA841,Linux,Testing,Italy,841
LTGER733,Linux,Testing,Germany,733
ADIRL328,AIX,Development,Ireland,328
LIESP689,Linux,Integration,Spain,689
HTIRL237,HP-UX,Testing,Ireland,237
STFRA774,Solaris,Testing,France,774
ASESP226,AIX,Staging,Spain,226
STITA274,Solaris,Testing,Italy,274
STESP237,Solaris,Testing,Spain,237
SSIRL305,Solaris,Staging,Ireland,305
HSESP093,HP-UX,Staging,Spain,93
SDGER581,Solaris,Development,Germany,581
LPITA459,Linux,Production,Italy,459
STIRL827,Solaris,Testing,Ireland,827
SPITA995,Solaris,Production,Italy,995
ADNOR899,AIX,Development,Norway,899
SIITA589,Solaris,Integration,Italy,589
LIESP827,Linux,Integration,Spain,827
SSNOR159,Solaris,Staging,Norway,159
LPFRA840,Linux,Production,France,840
LPGER221,Linux,Production,Germany,221
SPIRL307,Solaris,Production,Ireland,307
LIIRL546,Linux,Integration,Ireland,546
LTESP104,Linux,Testing,Spain,104
ADIRL583,AIX,Development,Ireland,583
LDNOR251,Linux,Development,Norway,251
HDIRL486,HP-UX,Development,Ireland,486
LTIRL251,Linux,Testing,Ireland,251
HPIRL809,HP-UX,Production,Ireland,809
SSIRL417,Solaris,Staging,Ireland,417
HSIRL845,HP-UX,Staging,Ireland,845
HPIRL084,HP-UX,Production,Ireland,84
